n_bits,tables_num,pat,type,ratio,ns_avg,ns_std,ns_perc25,ns_median,ns_perc75
1,1,unary::M2L::NoTable,read_buff,0.499498,2.1586585454545455,1.839132361250509,1.598793,1.607677,1.60952
1,1,unary::M2L::NoTable,read_unbuff,0.499498,3.430177,0.0039608747771167655,3.42671,3.429604,3.431509
1,1,unary::M2L::Table,read_buff,0.50044,4.714244909090909,1.9222156788073734,4.129968,4.132991,4.136068
1,1,unary::M2L::Table,read_unbuff,0.50044,6.603407727272726,0.020578795679489833,6.581657,6.599651,6.613771
1,1,unary::L2M::NoTable,read_buff,0.499708,1.5975934545454546,0.008494390047126826,1.585574,1.601444,1.602004
1,1,unary::L2M::NoTable,read_unbuff,0.499708,3.0017885454545454,0.003831547973434168,3.001601,3.002151,3.004191
1,1,unary::L2M::Table,read_buff,0.499277,4.141047818181818,0.003127543790842263,4.139198,4.139934,4.141599
1,1,unary::L2M::Table,read_unbuff,0.499277,6.674424181818181,1.9676504023336472,6.072214,6.085784,6.086502
1,1,gamma::M2L::NoTable,read_buff,0.749522,2.312772545454545,0.005817988730886917,2.308607,2.312401,2.318221
1,1,gamma::M2L::NoTable,read_unbuff,0.749522,6.411263090909092,1.9291254945589442,5.816547,5.829112,5.847581
1,1,gamma::M2L::Table,read_buff,0.750229,5.415366363636364,1.914452737966507,4.751286,4.781047,4.926491
1,1,gamma::M2L::Table,read_unbuff,0.750229,6.7355186363636355,0.019745541224654998,6.721657,6.732974,6.737239
1,1,gamma::L2M::NoTable,read_buff,0.750563,2.090410818181818,0.061031261535082496,2.015359,2.130344,2.131664
1,1,gamma::L2M::NoTable,read_unbuff,0.750563,5.936328636363636,1.9247760949436834,5.339996,5.350204,5.372209
1,1,gamma::L2M::Table,read_buff,0.749441,5.352409727272727,1.8053372209858238,4.65674,4.859439,5.006601
1,1,gamma::L2M::Table,read_unbuff,0.749441,6.7185321818181825,1.8403461954643654,6.160699,6.172218,6.181414
1,1,zeta3::M2L::NoTable,read_buff,0,7.700009454545454,1.8444437103925053,7.129308,7.136146,7.166801
1,1,zeta3::M2L::NoTable,read_unbuff,0,9.547691181818184,1.8284321730148925,8.99426,9.004246,9.024215
1,1,zeta3::M2L::Table,read_buff,0,7.456355454545454,0.02119497833621739,7.439433,7.460337,7.466732
1,1,zeta3::M2L::Table,read_unbuff,0,10.709426909090908,2.517594858174899,9.559166,9.584557,9.60423
1,1,zeta3::L2M::NoTable,read_buff,0,7.284728,0.028689990383407294,7.262746,7.280341,7.292586
1,1,zeta3::L2M::NoTable,read_unbuff,0,8.988136090909093,1.9485288170091022,8.39241,8.402378,8.409937
1,1,zeta3::L2M::Table,read_buff,0,8.076465181818183,1.923938178208012,7.481409,7.491092,7.509806
1,1,zeta3::L2M::Table,read_unbuff,0,8.944047272727273,0.021614797228245844,8.926421,8.938363,8.947726
1,1,delta::M2L::Table,read_buff,0.279702,5.963746636363635,1.8570372252671878,5.37835,5.414943,5.424956
1,1,delta::M2L::Table,read_unbuff,0.279702,8.289893909090909,1.8412242693291037,7.712594,7.738609,7.754673
1,1,delta::M2L::NoTable,read_buff,0.279331,5.7167330000000005,2.538919598762001,4.559658,4.582286,4.59842
1,1,delta::M2L::NoTable,read_unbuff,0.279331,7.545705090909091,0.026417727530787125,7.526894,7.533522,7.551965
1,1,delta::L2M::Table,read_buff,0.279696,4.857504545454545,0.014783473444110738,4.845038,4.855195,4.864619
1,1,delta::L2M::Table,read_unbuff,0.279696,8.017426818181818,2.506999046205396,6.874756,6.887554,6.927611
1,1,delta::L2M::NoTable,read_buff,0.279347,3.8888912727272724,0.02007306788256795,3.882302,3.890018,3.901391
1,1,delta::L2M::NoTable,read_unbuff,0.279347,6.996325454545454,0.028485651785990974,6.975111,7.004943,7.011456
1,1,delta_gamma::M2L::Table,read_buff,0.27873,6.706526545454546,1.8600158989787892,6.064712,6.150389,6.18667
1,1,delta_gamma::M2L::Table,read_unbuff,0.27873,8.764163363636364,1.839676320754185,8.182008,8.212574,8.240267
1,1,delta_gamma::M2L::NoTable,read_buff,0.279703,6.939107090909092,1.847421446322655,6.361071,6.371572,6.413564
